Team,Season,GP,W,L,T,OT,P,PIM,PIM/GP,Pen Drawn,Pen Taken,Net Pen,Pen Drawn/60,Pen Taken/60,Net Pen/60,Bench,Minor,Major,Match,Msct,G Msct
Tampa Bay Lightning,20202021,23,16,7,--,--,32,257,11:10,112,103,9,4.81,4.42,0.39,3,92,3,0,5,0
New York Islanders,20202021,19,11,8,--,--,22,192,10:06,73,71,2,3.66,3.56,0.1,2,59,6,0,3,1
Montréal Canadiens,20202021,22,13,9,--,--,26,173,7:51,68,76,-8,3.01,3.36,-0.35,2,71,1,0,2,0
Vegas Golden Knights,20202021,19,10,9,--,--,20,131,6:53,56,51,5,2.89,2.63,0.26,2,45,1,1,2,0
Carolina Hurricanes,20202021,11,5,6,--,--,10,112,10:10,44,52,-8,3.57,4.22,-0.65,0,51,0,0,1,0
Florida Panthers,20202021,6,2,4,--,--,4,106,17:40,37,37,0,6.07,6.07,0,0,33,0,0,4,0
Boston Bruins,20202021,11,6,5,--,--,12,102,9:16,44,48,-4,3.72,4.06,-0.34,3,43,2,0,0,0
Colorado Avalanche,20202021,10,6,4,--,--,12,87,8:42,37,30,7,3.68,2.99,0.7,1,25,1,1,2,0
Winnipeg Jets,20202021,8,4,4,--,--,8,63,7:52,19,26,-7,2.1,2.88,-0.78,0,24,1,0,0,1
Nashville Predators,20202021,6,2,4,--,--,4,62,10:20,33,27,6,4.56,3.73,0.83,0,26,0,0,1,0
Toronto Maple Leafs,20202021,7,3,4,--,--,6,59,8:25,28,23,5,3.85,3.16,0.69,2,19,1,0,1,0
Washington Capitals,20202021,5,1,4,--,--,2,52,10:24,28,26,2,5.07,4.71,0.36,0,26,0,0,0,0
Pittsburgh Penguins,20202021,6,2,4,--,--,4,50,8:20,21,23,-2,3.17,3.47,-0.3,1,22,0,0,0,0
Minnesota Wild,20202021,7,3,4,--,--,6,45,6:25,16,21,-5,2.27,2.98,-0.71,1,19,1,0,0,0
St. Louis Blues,20202021,4,0,4,--,--,0,33,8:15,11,14,-3,2.75,3.5,-0.75,1,12,1,0,0,0
Edmonton Oilers,20202021,4,0,4,--,--,0,22,5:30,12,11,1,2.4,2.2,0.2,0,11,0,0,0,0
Tampa Bay Lightning,20192020,25,18,7,--,--,36,319,12:45,104,121,-17,3.63,4.22,-0.59,4,103,7,0,6,1
Dallas Stars,20192020,27,15,12,--,--,30,289,10:42,108,124,-16,3.84,4.41,-0.57,2,117,1,0,4,0
Vancouver Canucks,20192020,17,10,7,--,--,20,215,12:38,89,87,2,5.13,5.01,0.12,3,77,3,0,4,0
New York Islanders,20192020,22,13,9,--,--,26,208,9:27,100,84,16,4.22,3.55,0.68,4,73,4,0,3,0
Philadelphia Flyers,20192020,16,10,6,--,--,20,167,10:26,63,64,-1,3.74,3.8,-0.06,6,53,1,0,4,0
Vegas Golden Knights,20192020,20,12,8,--,--,24,158,7:54,77,71,6,3.8,3.5,0.3,0,69,0,1,1,0
Boston Bruins,20192020,13,5,8,--,--,10,150,11:32,60,56,4,4.29,4,0.29,1,48,4,0,3,0
Montréal Canadiens,20192020,10,5,5,--,--,10,131,13:06,40,51,-11,3.91,4.98,-1.08,2,45,1,0,2,1
Colorado Avalanche,20192020,15,9,5,--,--,19,128,8:32,81,60,21,5.33,3.95,1.38,0,59,0,0,1,0
St. Louis Blues,20192020,9,2,6,--,--,5,103,11:26,39,46,-7,4.13,4.88,-0.74,3,41,1,0,1,0
Washington Capitals,20192020,8,2,5,--,--,5,96,12:00,42,45,-3,5.15,5.52,-0.37,2,41,2,0,0,0
Calgary Flames,20192020,10,5,5,--,--,10,93,9:18,38,42,-4,3.7,4.09,-0.39,1,38,3,0,0,0
Carolina Hurricanes,20192020,8,4,4,--,--,8,81,10:07,36,38,-2,4.31,4.55,-0.24,2,35,1,0,0,0
Arizona Coyotes,20192020,9,4,5,--,--,8,80,8:53,32,39,-7,3.52,4.29,-0.77,3,36,0,0,0,0
Minnesota Wild,20192020,4,1,3,--,--,2,62,15:30,32,28,4,7.99,6.99,1,1,25,2,0,0,0
Chicago Blackhawks,20192020,9,4,5,--,--,8,59,6:33,32,28,4,3.51,3.07,0.44,2,25,1,0,0,0
Columbus Blue Jackets,20192020,10,4,6,--,--,8,59,5:54,40,28,12,3.3,2.31,0.99,1,26,1,0,0,0
New York Rangers,20192020,3,0,3,--,--,0,49,16:20,18,19,-1,6,6.33,-0.33,0,17,1,0,1,0
Toronto Maple Leafs,20192020,5,2,3,--,--,4,47,9:24,16,18,-2,2.9,3.26,-0.36,1,15,1,0,1,0
Florida Panthers,20192020,4,1,3,--,--,2,46,11:30,16,18,-2,4,4.5,-0.5,1,16,0,0,1,0
