Team,Season,GP,W,L,T,OT,P,PIM,PIM/GP,Pen Drawn,Pen Taken,Net Pen,Pen Drawn/60,Pen Taken/60,Net Pen/60,Bench,Minor,Major,Match,Msct,G Msct
Tampa Bay Lightning,20202021,56,36,17,--,3,75,597,10:39,230,233,-3,4.07,4.12,-0.05,6,197,23,0,7,0
Florida Panthers,20202021,56,37,14,--,5,79,568,10:08,248,223,25,4.36,3.92,0.44,5,192,18,0,8,0
New York Rangers,20202021,56,27,23,--,6,60,565,10:05,237,218,19,4.19,3.86,0.34,7,181,23,0,6,1
Vancouver Canucks,20202021,56,23,29,--,4,50,551,9:50,191,216,-25,3.38,3.82,-0.44,10,180,19,1,4,2
Boston Bruins,20202021,56,33,16,--,7,73,533,9:31,201,221,-20,3.54,3.89,-0.35,2,199,15,0,4,1
Washington Capitals,20202021,56,36,15,--,5,77,527,9:24,194,206,-12,3.42,3.63,-0.21,5,175,19,0,6,1
Nashville Predators,20202021,56,31,23,--,2,64,514,9:10,195,208,-13,3.43,3.66,-0.23,6,183,12,1,6,0
San Jose Sharks,20202021,56,21,28,--,7,49,514,9:10,193,220,-27,3.4,3.87,-0.48,14,187,16,1,1,1
Ottawa Senators,20202021,56,23,28,--,5,51,509,9:05,212,214,-2,3.75,3.79,-0.04,5,185,23,0,1,0
Anaheim Ducks,20202021,56,17,30,--,9,43,500,8:55,167,207,-40,2.95,3.65,-0.71,5,179,20,0,3,0
Colorado Avalanche,20202021,56,39,13,--,4,82,499,8:54,244,212,32,4.33,3.76,0.57,7,189,11,0,5,0
Minnesota Wild,20202021,56,35,16,--,5,75,498,8:53,207,203,4,3.65,3.58,0.07,4,178,16,0,4,1
Montréal Canadiens,20202021,56,24,21,--,11,59,465,8:18,183,200,-17,3.22,3.52,-0.3,7,178,13,0,2,0
St. Louis Blues,20202021,56,27,20,--,9,63,456,8:08,182,199,-17,3.2,3.5,-0.3,7,175,16,0,1,0
Calgary Flames,20202021,56,26,27,--,3,55,449,8:01,208,202,6,3.7,3.59,0.11,2,187,13,0,0,0
Philadelphia Flyers,20202021,56,25,23,--,8,58,447,7:58,190,194,-4,3.33,3.4,-0.07,3,177,11,0,2,1
Arizona Coyotes,20202021,56,24,26,--,6,54,446,7:57,212,198,14,3.74,3.49,0.25,8,178,10,0,1,1
Edmonton Oilers,20202021,56,35,19,--,2,72,434,7:45,197,179,18,3.51,3.19,0.32,6,155,14,0,3,1
Carolina Hurricanes,20202021,56,36,12,--,8,80,414,7:23,185,198,-13,3.25,3.48,-0.23,6,186,6,0,0,0
Dallas Stars,20202021,56,23,19,--,14,60,410,7:19,184,176,8,3.21,3.07,0.14,7,155,12,0,2,0
Detroit Red Wings,20202021,56,19,27,--,10,48,408,7:17,177,185,-8,3.12,3.26,-0.14,7,167,10,0,0,1
Vegas Golden Knights,20202021,56,40,14,--,2,82,408,7:17,204,177,27,3.6,3.13,0.48,10,153,12,0,0,2
Winnipeg Jets,20202021,56,30,23,--,3,63,404,7:12,192,176,16,3.41,3.12,0.28,6,159,8,0,1,2
Pittsburgh Penguins,20202021,56,37,16,--,3,77,395,7:03,175,176,-1,3.09,3.11,-0.02,5,160,9,0,1,1
Los Angeles Kings,20202021,56,21,28,--,7,49,395,7:03,192,180,12,3.4,3.19,0.21,9,160,11,0,0,0
Columbus Blue Jackets,20202021,56,18,26,--,12,48,391,6:58,145,157,-12,2.54,2.75,-0.21,11,131,9,0,5,1
Toronto Maple Leafs,20202021,56,35,14,--,7,77,390,6:57,174,165,9,3.08,2.92,0.16,5,148,8,0,3,1
New Jersey Devils,20202021,56,19,30,--,7,45,376,6:42,174,164,10,3.07,2.89,0.18,14,139,10,0,1,0
New York Islanders,20202021,56,32,17,--,7,71,370,6:36,163,153,10,2.86,2.69,0.18,3,139,6,0,5,0
Chicago Blackhawks,20202021,56,24,25,--,7,55,368,6:34,192,165,27,3.37,2.9,0.47,7,150,6,1,1,0
Buffalo Sabres,20202021,56,15,34,--,7,37,342,6:06,161,157,4,2.84,2.77,0.07,6,144,6,0,1,0
New York Rangers,20192020,70,37,28,--,5,79,781,11:09,291,301,-10,4.13,4.27,-0.14,12,253,23,0,10,3
Anaheim Ducks,20192020,71,29,33,--,9,67,725,10:12,247,284,-37,3.43,3.94,-0.51,9,240,25,0,8,2
Tampa Bay Lightning,20192020,70,43,21,--,6,92,723,10:19,280,298,-18,3.96,4.21,-0.25,15,257,17,0,8,1
San Jose Sharks,20192020,70,29,36,--,5,63,723,10:19,248,279,-31,3.51,3.95,-0.44,11,239,15,0,13,1
Washington Capitals,20192020,69,41,20,--,8,90,699,10:07,277,298,-21,3.96,4.26,-0.3,8,267,17,1,5,0
Boston Bruins,20192020,70,44,14,--,12,100,682,9:44,301,278,23,4.24,3.91,0.32,10,241,20,1,6,0
Ottawa Senators,20192020,71,25,34,--,12,62,682,9:36,263,276,-13,3.65,3.83,-0.18,17,232,20,0,7,0
New Jersey Devils,20192020,69,28,29,--,12,68,666,9:39,274,269,5,3.91,3.84,0.07,10,234,16,0,7,2
Vancouver Canucks,20192020,69,36,27,--,6,78,643,9:19,283,264,19,4.05,3.78,0.27,11,231,13,0,8,1
