Team,Season,GP,Shots,SAT For,SAT Agst,SAT,SAT Tied,SAT Ahead,SAT Behind,SAT Close,USAT For,USAT Agst,USAT,USAT Tied,USAT Ahead,USAT Behind,USAT Close
Washington Capitals,20162017,13,358,745,589,156,56,6,94,74,516,423,93,47,18,28,47
Minnesota Wild,20162017,5,147,283,182,101,38,-7,70,45,203,134,69,18,-2,53,28
Nashville Predators,20162017,22,535,1040,958,82,81,-57,58,85,746,695,51,34,-8,25,43
Anaheim Ducks,20162017,17,469,877,824,53,35,-57,75,41,664,610,54,34,-30,50,29
Columbus Blue Jackets,20162017,5,159,286,246,40,32,-9,17,24,206,178,28,24,3,1,15
Montréal Canadiens,20162017,6,161,335,301,34,13,23,-2,27,224,207,17,12,14,-9,23
Calgary Flames,20162017,4,103,197,188,9,-14,7,16,-9,148,141,7,-10,1,16,-9
Boston Bruins,20162017,6,136,288,292,-4,2,5,-11,0,202,216,-14,-6,7,-15,-1
Chicago Blackhawks,20162017,4,111,207,211,-4,-34,-4,34,-9,143,144,-1,-15,0,14,-3
Toronto Maple Leafs,20162017,6,172,349,363,-14,5,-13,-6,9,245,259,-14,-4,-1,-9,5
San Jose Sharks,20162017,6,130,278,302,-24,-16,-14,6,0,190,197,-7,2,1,-10,14
Ottawa Senators,20162017,19,460,890,915,-25,-29,-13,17,-56,639,666,-27,-31,20,-16,-56
New York Rangers,20162017,12,309,590,652,-62,-25,-31,-6,-13,427,442,-15,-4,-1,-10,5
Edmonton Oilers,20162017,13,289,619,683,-64,-20,-70,26,-57,427,505,-78,-31,-37,-10,-54
St. Louis Blues,20162017,11,231,431,533,-102,-47,-68,13,-56,319,377,-58,-13,-39,-6,-18
Pittsburgh Penguins,20162017,25,570,1042,1218,-176,-77,-114,15,-105,759,864,-105,-57,-25,-23,-68
Winnipeg Jets,20172018,17,473,918,808,110,30,-13,93,76,682,584,98,29,12,57,57
Tampa Bay Lightning,20172018,17,389,778,703,75,3,6,66,80,576,542,34,-18,28,24,37
Nashville Predators,20172018,13,368,697,637,60,45,-36,51,27,513,454,59,40,-4,23,35
