Team,Season,GP,Shots,SAT For,SAT Agst,SAT,SAT Tied,SAT Ahead,SAT Behind,SAT Close,USAT For,USAT Agst,USAT,USAT Tied,USAT Ahead,USAT Behind,USAT Close
Los Angeles Kings,20162017,82,2029,3971,3251,720,243,61,416,368,2927,2400,527,201,78,248,294
Boston Bruins,20162017,82,2102,3918,3239,679,211,77,391,361,2952,2380,572,169,156,247,331
Montréal Canadiens,20162017,82,2040,3940,3559,381,167,41,173,208,2837,2574,263,124,106,33,142
Washington Capitals,20162017,82,1941,3656,3400,256,196,-72,132,188,2695,2542,153,99,-12,66,104
Nashville Predators,20162017,82,2037,3801,3600,201,-22,-82,305,49,2815,2707,108,-24,-21,153,23
Carolina Hurricanes,20162017,82,1977,3830,3637,193,11,-44,226,70,2803,2755,48,-63,-16,127,-40
Tampa Bay Lightning,20162017,82,1897,3595,3419,176,121,-127,182,174,2693,2628,65,86,-78,57,112
San Jose Sharks,20162017,82,1931,3875,3704,171,66,-85,190,176,2805,2587,218,82,27,109,171
Philadelphia Flyers,20162017,82,1909,3755,3594,161,41,-98,218,177,2685,2544,141,71,-23,93,140
Calgary Flames,20162017,82,1844,3487,3414,73,70,-168,171,26,2547,2538,9,46,-77,40,18
Florida Panthers,20162017,82,1979,3513,3445,68,-57,-38,163,-2,2714,2698,16,-66,17,65,-13
Toronto Maple Leafs,20162017,82,2028,3937,3875,62,42,-220,240,44,2940,2968,-28,-5,-121,98,-19
Chicago Blackhawks,20162017,82,2015,3773,3711,62,-24,-151,237,29,2708,2715,-7,-65,-77,135,-32
Columbus Blue Jackets,20162017,82,2057,3720,3673,47,-11,-116,174,75,2775,2725,50,-24,-11,85,31
St. Louis Blues,20162017,82,1835,3414,3390,24,93,-205,136,101,2542,2495,47,50,-69,66,62
Pittsburgh Penguins,20162017,82,2162,3810,3789,21,-17,-43,81,-6,2874,2736,138,18,73,47,60
Dallas Stars,20162017,82,1970,3852,3839,13,98,-286,201,20,2815,2743,72,112,-179,139,69
Edmonton Oilers,20162017,82,2005,3663,3666,-3,-20,-189,206,-29,2739,2637,102,19,-32,115,56
Anaheim Ducks,20162017,82,1870,3506,3552,-46,15,-180,119,88,2647,2637,10,9,-55,56,68
Minnesota Wild,20162017,82,2032,3648,3745,-97,28,-248,123,30,2768,2780,-12,30,-125,83,56
Winnipeg Jets,20162017,82,1855,3399,3500,-101,-74,-88,61,-131,2551,2616,-65,-33,-49,17,-99
Colorado Avalanche,20162017,82,1811,3439,3647,-208,-124,-112,28,-245,2530,2789,-259,-92,-64,-103,-237
Ottawa Senators,20162017,82,1925,3595,3809,-214,-107,-193,86,-157,2616,2745,-129,-98,-54,23,-92
Detroit Red Wings,20162017,82,1827,3317,3564,-247,-42,-188,-17,-239,2543,2724,-181,-13,-104,-64,-187
Vancouver Canucks,20162017,82,1823,3399,3693,-294,-105,-266,77,-161,2486,2832,-346,-134,-171,-41,-189
New Jersey Devils,20162017,82,1789,3199,3495,-296,-109,-173,-14,-190,2471,2688,-217,-46,-110,-61,-131
New York Rangers,20162017,82,1895,3524,3824,-300,-145,-327,172,-151,2669,2800,-131,-50,-167,86,-40
New York Islanders,20162017,82,1995,3694,4036,-342,-171,-261,90,-231,2714,2936,-222,-125,-119,22,-130
Buffalo Sabres,20162017,82,1965,3486,3895,-409,-68,-352,11,-213,2675,2977,-302,-50,-236,-16,-187
Arizona Coyotes,20162017,82,1813,3412,4163,-751,-306,-344,-101,-429,2562,3202,-640,-228,-226,-186,-341
Carolina Hurricanes,20172018,82,2204,4259,3558,701,255,75,371,495,3113,2737,376,135,61,180,304
Calgary Flames,20172018,82,2146,4177,3630,547,198,57,292,285,3127,2738,389,160,84,145,224
Boston Bruins,20172018,82,2105,3915,3373,542,140,70,332,314,2948,2532,416,110,100,206,242
Chicago Blackhawks,20172018,82,2204,4198,3823,375,47,30,298,114,2948,2833,115,-37,25,127,-4
Pittsburgh Penguins,20172018,82,2231,3965,3619,346,190,-3,159,165,3015,2664,351,182,79,90,161
St. Louis Blues,20172018,82,2091,3896,3638,258,135,-17,140,120,2894,2596,298,149,46,103,136
Tampa Bay Lightning,20172018,82,2095,3880,3631,249,140,-64,173,255,2924,2757,167,105,-46,108,204
