Team,Season,GP,P,P%,GF,GA,GF%,SAT%,SAT% Ahead,SAT% Tied,SAT% Behind,SAT% Close,USAT %,USAT% Ahead,USAT% Tied,USAT% Behind,USAT% Close,5v5 OZ%,5v5 S%,5v5 Sv%,5v5 S%+Sv%
Minnesota Wild,20162017,5,2,0.2,20,35,36.4,60.9,43.6,59.3,67,57.2,60.2,47.6,56.5,66.9,56.5,61.3,2.7,92.8,95.5
Washington Capitals,20162017,13,14,0.538,125,115,52.1,55.9,50.9,54.5,62.1,54.4,55,54,55.3,55.1,53.9,57.7,7,92.2,99.1
Columbus Blue Jackets,20162017,5,2,0.2,55,70,44,53.8,47,60.3,53.7,54.3,53.7,51.4,61.3,50.3,53.7,51.1,6.9,89.8,96.7
Montréal Canadiens,20162017,6,4,0.333,35,45,43.8,52.7,59.4,52.2,49.6,53.1,52,58.5,53.1,47.1,53.9,49.5,4.4,93.9,98.2
Nashville Predators,20162017,22,28,0.636,210,185,53.2,52.1,45.7,54.6,56.6,53.3,51.8,49.1,52.6,53.9,52.3,48.7,7.9,92.9,100.8
Anaheim Ducks,20162017,17,20,0.588,185,145,56.1,51.6,44,52.7,56.5,52.2,52.1,45.7,53.5,55.7,52.1,52.9,7.9,93.1,101
Calgary Flames,20162017,4,0,0,10,45,18.2,51.2,53.5,44.3,54.9,47.6,51.2,50.7,44.7,56.5,46.8,50.8,1.9,90.3,92.3
Boston Bruins,20162017,6,4,0.333,45,50,47.4,49.7,59.3,50.2,45.1,50,48.3,68.4,49.1,40.7,49.8,44.4,6.6,93.3,99.9
Chicago Blackhawks,20162017,4,0,0,5,55,8.3,49.5,46.2,38,57.6,48.2,49.8,50,42.9,54.8,49.1,59.4,0.9,90.3,91.2
Ottawa Senators,20162017,19,22,0.579,175,180,49.3,49.3,48.3,48.6,52,47.5,49,53.7,47.9,47.4,46.5,51.9,7.6,92.6,100.2
Toronto Maple Leafs,20162017,6,4,0.333,60,60,50,49,44.7,50.6,48.3,50.9,48.6,49.5,49.3,46.3,50.7,45.3,7,93.4,100.4
San Jose Sharks,20162017,6,4,0.333,40,35,53.3,47.9,45,46.8,51.6,50,49.1,50.5,50.6,45.6,53,48,6.2,94.8,101
Edmonton Oilers,20162017,13,14,0.538,105,120,46.7,47.5,43.4,47.9,54.4,45.8,45.8,45.2,45.5,47.6,44.4,46.2,7.3,93.2,100.4
New York Rangers,20162017,12,12,0.5,125,100,55.6,47.5,46.7,47.7,48.7,49.1,49.1,49.9,49.5,46.8,50.5,46.6,8.1,93.7,101.8
Pittsburgh Penguins,20162017,25,32,0.64,250,220,53.2,46.1,42.8,45.6,51.3,46,46.8,47.8,45.5,47.2,46.4,46.5,8.8,93.1,101.8
St. Louis Blues,20162017,11,12,0.545,85,70,54.8,44.7,38.1,44.7,52.8,45.7,45.8,40.8,48,48.2,48,48.1,7.4,94.7,102
Anaheim Ducks,20172018,4,0,0,10,50,16.7,53.3,41.2,47.2,55.5,48.1,52.4,37.5,45.1,55.3,49.4,65.3,2.1,88.5,90.6
Winnipeg Jets,20172018,17,18,0.529,160,145,52.5,53.2,48.9,52.9,57.4,54.2,53.9,51.5,53.8,56.1,54.4,57,6.8,93,99.8
Tampa Bay Lightning,20172018,17,22,0.647,135,135,50,52.5,50.5,50.3,59.4,54.8,51.5,52.8,47.4,54.5,53,49.9,6.9,93.1,100
Nashville Predators,20172018,13,14,0.538,135,120,52.9,52.3,46,55,55.9,51.9,53.1,49.4,56.3,53.7,53.5,48.7,7.3,92.7,100
Vegas Golden Knights,20172018,20,26,0.65,200,135,59.7,51.5,48.7,51.5,56.7,49.6,50.2,49.5,50.5,51.2,49.2,49,8.5,94.3,102.7
Columbus Blue Jackets,20172018,6,4,0.333,65,60,52,50.8,34.4,50.3,53.1,52.1,51.6,37,53.9,51.2,52.6,50.8,8.1,92.5,100.6
Pittsburgh Penguins,20172018,12,12,0.5,140,105,57.1,50.6,47.8,52.7,51.2,50.6,52.3,51.2,54.6,50.7,53.1,51.6,10.6,91.3,101.9
Boston Bruins,20172018,12,10,0.417,120,120,50,49.4,38.9,52.8,53.7,49.3,49.4,43,52.8,51,49.3,51.8,8.2,91.6,99.8
Washington Capitals,20172018,24,32,0.667,260,190,57.8,48.8,44.9,49.5,56.7,48.2,50.2,48.4,49.5,55.5,49,50.2,9,93.1,102
Philadelphia Flyers,20172018,6,4,0.333,45,105,30,48.4,45.2,44.9,51.5,48.8,45.9,44.2,44,47.9,47,44.4,8.5,84.8,93.3
San Jose Sharks,20172018,10,12,0.6,85,75,53.1,47.8,45.8,49.1,48.8,51.5,48.1,47.6,49.6,47,51.2,45.6,7.5,93.8,101.3
Toronto Maple Leafs,20172018,7,6,0.429,70,90,43.8,47.7,41.3,45.4,57.1,46.2,47.1,42,46.6,52.4,46.6,46.3,8.6,90.8,99.4
Los Angeles Kings,20172018,4,0,0,5,30,14.3,47.1,52.8,48.2,43.8,52,46.5,52.9,47.7,43.3,49.6,49.7,1,94.3,95.3
New Jersey Devils,20172018,5,2,0.2,30,45,40,46.4,100,45.7,46.2,44,46.3,100,49.5,44,44.6,47.3,5.2,92.5,97.7
Colorado Avalanche,20172018,6,4,0.333,50,75,40,45.4,44.6,43.9,47.5,45.8,43.1,48.3,37.8,43.5,41.4,48.6,7.7,90.7,98.4
Minnesota Wild,20172018,5,2,0.2,30,60,33.3,41,42,36.3,44.4,37.5,40,45.5,35.7,41.6,37.2,37.8,5.9,92.1,97.9
