Team,Season,GP,W,L,T,OT,P,P%,RW,ROW,S/O Win,GF,GA,GF/GP,GA/GP,PP%,PK%,Net PP%,Net PK%,Shots/GP,SA/GP,FOW%
Tampa Bay Lightning,20202021,23,16,7,--,--,32,0.696,16,16,0,75,45,3.26,1.96,32.4,84.1,32.4,87.3,29.6,30.4,48.1
Montréal Canadiens,20202021,22,13,9,--,--,26,0.591,7,13,0,51,54,2.32,2.45,18.9,91.8,17,98.4,28.9,30.7,49.4
New York Islanders,20202021,19,11,8,--,--,22,0.579,7,11,0,54,53,2.84,2.79,20.4,65.1,16.3,65.1,28.5,35.2,51.8
Vegas Golden Knights,20202021,19,10,9,--,--,20,0.526,8,10,0,53,46,2.79,2.42,9.3,71.8,9.3,74.4,32.1,26.4,53.5
Boston Bruins,20202021,11,6,5,--,--,12,0.545,3,6,0,33,32,3,2.91,36.4,75.7,36.4,75.7,35.8,31,52.3
Colorado Avalanche,20202021,10,6,4,--,--,12,0.6,5,6,0,38,27,3.8,2.7,41.4,81.8,37.9,86.4,30.8,30.2,50.1
Carolina Hurricanes,20202021,11,5,6,--,--,10,0.455,2,5,0,31,30,2.82,2.73,18.2,76.2,18.2,76.2,36.8,30.7,52
Winnipeg Jets,20202021,8,4,4,--,--,8,0.5,1,4,0,20,22,2.5,2.75,16.7,79.2,0,83.3,30.1,36.4,53.2
Toronto Maple Leafs,20202021,7,3,4,--,--,6,0.429,3,3,0,18,14,2.57,2,13,84.2,8.7,84.2,33.7,28.3,50.6
Minnesota Wild,20202021,7,3,4,--,--,6,0.429,2,3,0,13,20,1.86,2.86,18.2,86.7,9.1,86.7,24.9,32.1,42.4
Pittsburgh Penguins,20202021,6,2,4,--,--,4,0.333,2,2,0,16,21,2.67,3.5,25,81.3,25,87.5,38.5,31.2,47.5
Florida Panthers,20202021,6,2,4,--,--,4,0.333,1,2,0,17,24,2.83,4,27.3,60,22.7,60,37.8,31.2,51.1
Nashville Predators,20202021,6,2,4,--,--,4,0.333,0,2,0,16,22,2.67,3.67,11.5,79,11.5,79,34.2,42.3,48.3
Washington Capitals,20202021,5,1,4,--,--,2,0.2,0,1,0,10,16,2,3.2,14.3,73.7,14.3,73.7,33.8,34.6,45.8
St. Louis Blues,20202021,4,0,4,--,--,0,0,0,0,0,7,20,1.75,5,22.2,50,11.1,58.3,27.5,36.3,47.7
Edmonton Oilers,20202021,4,0,4,--,--,0,0,0,0,0,8,14,2,3.5,18.2,70,18.2,70,39.8,34.5,45.4
Tampa Bay Lightning,20192020,25,18,7,--,--,36,0.72,11,17,1,77,57,3.08,2.28,22.7,86.1,21.3,86.1,35.2,29.7,48.4
Dallas Stars,20192020,27,15,12,--,--,30,0.556,9,14,1,77,82,2.85,3.04,22.4,79.6,18.8,81.6,29.7,33.3,50.3
New York Islanders,20192020,22,13,9,--,--,26,0.591,11,13,0,66,51,3,2.32,15.4,81.8,15.4,83.3,30,29.3,49.8
Vegas Golden Knights,20192020,20,12,8,--,--,24,0.6,10,12,0,57,44,2.85,2.2,18.2,85.5,16.7,87.1,36.2,24.5,45.1
Philadelphia Flyers,20192020,16,10,6,--,--,20,0.625,7,10,0,38,40,2.38,2.5,7.7,80.8,5.8,80.8,27.1,30.6,54.6
Vancouver Canucks,20192020,17,10,7,--,--,20,0.588,8,10,0,48,45,2.82,2.65,20.3,80,18.8,83.1,26.5,36.7,55.7
Colorado Avalanche,20192020,15,9,5,--,--,19,0.633,9,9,0,60,41,4,2.73,22.1,75,22.1,75,36.5,27.5,50.2
Boston Bruins,20192020,13,5,8,--,--,10,0.385,4,5,0,29,39,2.23,3,22.2,82.9,20,85.4,32.6,29.6,53.1
Montréal Canadiens,20192020,10,5,5,--,--,10,0.5,4,5,0,23,19,2.3,1.9,15.2,84.4,15.2,86.7,29.3,28.3,46.1
Calgary Flames,20192020,10,5,5,--,--,10,0.5,5,5,0,33,27,3.3,2.7,28.6,81.6,25.7,92.1,31.4,32.5,48.6
Carolina Hurricanes,20192020,8,4,4,--,--,8,0.5,4,4,0,22,19,2.75,2.38,13.8,81.8,6.9,87.9,28.6,32.8,49
Chicago Blackhawks,20192020,9,4,5,--,--,8,0.444,4,4,0,27,30,3,3.33,16.7,77.8,13.3,81.5,27.2,36,48.9
Columbus Blue Jackets,20192020,10,4,6,--,--,8,0.4,3,4,0,24,24,2.4,2.4,8.8,91.3,5.9,91.3,33.1,39.5,51.7
Arizona Coyotes,20192020,9,4,5,--,--,8,0.444,3,4,0,22,33,2.44,3.67,11.1,67.7,11.1,70.6,25.9,38.7,45.8
Washington Capitals,20192020,8,2,5,--,--,5,0.313,2,2,0,13,23,1.63,2.88,17.9,93.3,14.3,93.3,24.9,27,42.1
St. Louis Blues,20192020,9,2,6,--,--,5,0.278,1,2,0,22,31,2.44,3.44,18.8,74.4,12.5,74.4,33.3,31.1,51.7
Toronto Maple Leafs,20192020,5,2,3,--,--,4,0.4,1,2,0,10,12,2,2.4,15.4,100,15.4,107.1,37.8,31.8,49.8
