Team,Season,GP,W,L,T,P,P%,Win% 1 Goal Game,Win% 2 Goal Game,Win% 3 Goal Game,Wins 1 Goal Game,Wins 2 Goal Game,Wins 3 Goal Game,Loss 1 Goal Game,Loss 2 Goal Game,Loss 3 Goal Game,OT Loss 1 Goal Game,
St. Louis Blues,20162017,11,6,5,0,12,0.545,0.714,0.25,--,5,1,0,2,3,0,0,
Anaheim Ducks,20162017,17,10,7,0,20,0.588,0.7,0.5,0.333,7,2,1,3,2,2,0,
Nashville Predators,20162017,22,14,8,0,28,0.636,0.667,0.5,0.714,6,3,5,3,3,2,0,
Ottawa Senators,20162017,19,11,8,0,22,0.579,0.643,1,0.25,9,1,1,5,0,3,0,
Pittsburgh Penguins,20162017,25,16,9,0,32,0.64,0.6,0.8,0.6,6,4,6,4,1,4,0,
Washington Capitals,20162017,13,7,6,0,14,0.538,0.556,0.5,0.5,5,1,1,4,1,1,0,
Columbus Blue Jackets,20162017,5,1,4,0,2,0.2,0.5,0,0,1,0,0,1,1,2,0,
Edmonton Oilers,20162017,13,7,6,0,14,0.538,0.429,1,0.333,3,3,1,4,0,2,0,
New York Rangers,20162017,12,6,6,0,12,0.5,0.333,0.5,1,2,2,2,4,2,0,0,
Boston Bruins,20162017,6,2,4,0,4,0.333,0.333,--,--,2,0,0,4,0,0,0,
Montréal Canadiens,20162017,6,2,4,0,4,0.333,0.333,0.333,--,1,1,0,2,2,0,0,
Toronto Maple Leafs,20162017,6,2,4,0,4,0.333,0.333,--,--,2,0,0,4,0,0,0,
San Jose Sharks,20162017,6,2,4,0,4,0.333,0.333,0,1,1,0,1,2,2,0,0,
Chicago Blackhawks,20162017,4,0,4,0,0,0,0,--,0,0,0,0,2,0,2,0,
Calgary Flames,20162017,4,0,4,0,0,0,0,0,--,0,0,0,3,1,0,0,
Minnesota Wild,20162017,5,1,4,0,2,0.2,0,0.5,--,0,1,0,3,1,0,0,
Toronto Maple Leafs,20172018,7,3,4,0,6,0.429,1,0.667,0,1,2,0,0,1,3,0,
Tampa Bay Lightning,20172018,17,11,6,0,22,0.647,1,0.875,0.286,2,7,2,0,1,5,0,
Nashville Predators,20172018,13,7,6,0,14,0.538,0.8,0,0.429,4,0,3,1,1,4,0,
San Jose Sharks,20172018,10,6,4,0,12,0.6,0.75,0,0.6,3,0,3,1,1,2,0,
Vegas Golden Knights,20172018,20,13,7,0,26,0.65,0.7,0.667,0.5,7,4,2,3,2,2,0,
Washington Capitals,20172018,24,16,8,0,32,0.667,0.6,0.333,1,6,2,8,4,4,0,0,
Columbus Blue Jackets,20172018,6,2,4,0,4,0.333,0.5,--,0,2,0,0,2,0,2,0,
Pittsburgh Penguins,20172018,12,6,6,0,12,0.5,0.333,0.5,0.571,1,1,4,2,1,3,0,
Colorado Avalanche,20172018,6,2,4,0,4,0.333,0.333,1,0,1,1,0,2,0,2,0,
Winnipeg Jets,20172018,17,9,8,0,18,0.529,0.2,0.5,0.75,1,2,6,4,2,2,0,
Boston Bruins,20172018,12,5,7,0,10,0.417,0,0.2,0.8,0,1,4,2,4,1,0,
Anaheim Ducks,20172018,4,0,4,0,0,0,0,--,0,0,0,0,2,0,2,0,
Los Angeles Kings,20172018,4,0,4,0,0,0,0,--,--,0,0,0,4,0,0,0,
Minnesota Wild,20172018,5,1,4,0,2,0.2,0,0,0.333,0,0,1,1,1,2,0,
New Jersey Devils,20172018,5,1,4,0,2,0.2,--,0,0.5,0,0,1,0,3,1,0,
Philadelphia Flyers,20172018,6,2,4,0,4,0.333,--,1,0.2,0,1,1,0,0,4,0,
Toronto Maple Leafs,20182019,7,3,4,0,6,0.429,1,0,0.333,2,0,1,0,2,2,0,
St. Louis Blues,20182019,26,16,10,0,32,0.615,0.769,0.4,0.5,10,2,4,3,3,4,0,
Carolina Hurricanes,20182019,15,8,7,0,16,0.533,0.667,0,0.5,4,0,4,2,1,4,0,
Colorado Avalanche,20182019,12,7,5,0,14,0.583,0.667,0,0.6,4,0,3,2,1,2,0,
San Jose Sharks,20182019,20,10,10,0,20,0.5,0.625,0.333,0.444,5,1,4,3,2,5,0,
Columbus Blue Jackets,20182019,10,6,4,0,12,0.6,0.6,1,0.5,3,1,2,2,0,2,0,
Nashville Predators,20182019,6,2,4,0,4,0.333,0.5,0,0,2,0,0,2,1,1,0,
