Team,Season,GP,W,L,T,OT,P,P%,Win% 1 Goal Game,Win% 2 Goal Game,Win% 3 Goal Game,Wins 1 Goal Game,Wins 2 Goal Game,Wins 3 Goal Game,Loss 1 Goal Game,Loss 2 Goal Game,Loss 3 Goal Game,OT Loss 1 Goal Game
Calgary Flames,20162017,82,45,33,0,4,94,0.573,0.69,0.391,0.533,20,9,16,5,14,14,4
Washington Capitals,20162017,82,55,19,0,8,118,0.72,0.606,0.684,0.733,20,13,22,5,6,8,8
St. Louis Blues,20162017,82,46,29,0,7,99,0.604,0.594,0.474,0.581,19,9,18,6,10,13,7
New York Rangers,20162017,82,48,28,0,6,102,0.622,0.59,0.412,0.692,23,7,18,10,10,8,6
Pittsburgh Penguins,20162017,82,50,21,0,11,111,0.677,0.576,0.7,0.615,19,7,24,3,3,15,11
Columbus Blue Jackets,20162017,82,50,24,0,8,108,0.659,0.575,0.579,0.696,23,11,16,9,8,7,8
Chicago Blackhawks,20162017,82,50,23,0,9,109,0.665,0.571,0.667,0.636,24,12,14,9,6,8,9
Montréal Canadiens,20162017,82,47,26,0,9,103,0.628,0.561,0.429,0.667,23,6,18,9,8,9,9
Edmonton Oilers,20162017,82,47,26,0,9,103,0.628,0.553,0.45,0.708,21,9,17,8,11,7,9
Vancouver Canucks,20162017,82,30,43,0,9,69,0.421,0.526,0.238,0.217,20,5,5,9,16,18,9
Ottawa Senators,20162017,82,44,28,0,10,98,0.598,0.525,0.722,0.417,21,13,10,9,5,14,10
Boston Bruins,20162017,82,44,31,0,7,95,0.579,0.514,0.375,0.655,19,6,19,11,10,10,7
Philadelphia Flyers,20162017,82,39,33,0,10,88,0.537,0.513,0.524,0.364,20,11,8,9,10,14,10
Tampa Bay Lightning,20162017,82,42,30,0,10,94,0.573,0.5,0.35,0.625,15,7,20,5,13,12,10
Anaheim Ducks,20162017,82,46,23,0,13,105,0.64,0.5,0.692,0.6,22,9,15,9,4,10,13
Winnipeg Jets,20162017,82,40,35,0,7,87,0.53,0.5,0.625,0.4,18,10,12,11,6,18,7
Arizona Coyotes,20162017,82,30,42,0,10,70,0.427,0.476,0.385,0.185,20,5,5,12,8,22,10
Los Angeles Kings,20162017,82,39,35,0,8,86,0.524,0.475,0.5,0.462,19,8,12,13,8,14,8
San Jose Sharks,20162017,82,46,29,0,7,99,0.604,0.475,0.765,0.56,19,13,14,14,4,11,7
Minnesota Wild,20162017,82,49,25,0,8,106,0.646,0.475,0.6,0.818,19,12,18,13,8,4,8
Dallas Stars,20162017,82,34,37,0,11,79,0.482,0.472,0.368,0.37,17,7,10,8,12,17,11
Buffalo Sabres,20162017,82,33,37,0,12,78,0.476,0.462,0.3,0.391,18,6,9,9,14,14,12
Florida Panthers,20162017,82,35,36,0,11,81,0.494,0.452,0.429,0.385,19,6,10,12,8,16,11
Detroit Red Wings,20162017,82,33,36,0,13,79,0.482,0.444,0.4,0.318,20,6,7,12,9,15,13
New Jersey Devils,20162017,82,28,40,0,14,70,0.427,0.429,0.267,0.24,18,4,6,10,11,19,14
Carolina Hurricanes,20162017,82,36,31,0,15,87,0.53,0.419,0.5,0.421,18,10,8,10,10,11,15
Nashville Predators,20162017,82,41,29,0,12,94,0.573,0.412,0.619,0.519,14,13,14,8,8,13,12
Colorado Avalanche,20162017,82,22,56,0,4,48,0.293,0.406,0.263,0.129,13,5,4,15,14,27,4
New York Islanders,20162017,82,41,29,0,12,94,0.573,0.405,0.667,0.5,15,14,12,10,7,12,12
